MDS1	MDS2
smooth_68	-0.000504745873924931	-0.00988573720764744
smooth_69	-0.00260596707906739	0.016012587967871
smooth_70	0.0253468410723547	0.000788271817285188
smooth_71	0.0150985574787503	-0.00299378064696704
smooth_72	0.00743501675154617	-0.00243825040735824
smooth_73	0.0145274243373011	0.0063211768597814
smooth_74	0.0250248989757721	0.00797947174043973
smooth_75	0.019431543992579	0.00788040632599394
smooth_76	0.011842729437658	-0.00720455845295883
smooth_77	0.00983674020817759	-0.00342726399620626
smooth_78	0.00901832053467509	-0.00237592826924739
smooth_79	0.00974056649962689	-0.00725467387520752
smooth_80	0.0233580803889239	0.0106016801913839
smooth_81	0.0210718717958229	0.00658468564797414
smooth_82	0.0158956216848292	0.0105265368195559
smooth_83	0.00606593472965172	-0.00389899610548284
smooth_84	-0.00298388202861665	0.0021057639897031
smooth_85	-0.0037723647654533	-0.00723467546910789
smooth_86	0.0168001348249678	0.00445554940327851
smooth_87	0.0168498832931072	-0.00697041720372095
smooth_88	0.00312892963905816	0.00419398718587981
smooth_89	0.0166830625144902	0.00326556476184422
smooth_90	-0.00530302215656718	-0.0100661982525795
smooth_91	0.0257078166380746	0.0102776804020695
smooth_92	0.0167335487935886	0.00385787046100809
smooth_93	0.00960890739045532	-0.00591291810004543
smooth_94	0.0119996964984014	0.0110190358605819
smooth_95	0.0213935477135419	0.00669780714726601
smooth_96	0.0133819730372069	-0.00919433304124482
smooth_97	0.00670785404048616	-0.012815411700256
